date,description,expense/income,amount
2023-11-24,Freelancing,Income,600.24
2023-02-27,Investment Return,Income,600.24
2023-01-13,Salary,Income,600.24
2023-05-21,Salary,Income,600.24
2023-05-06,Salary,Income,600.24
2023-04-25,Freelancing,Income,600.24
2023-03-13,Bonus,Income,600.24
2023-02-22,Bonus,Income,600.24
2023-12-13,Investment Return,Income,600.24
2023-10-07,Freelancing,Income,600.24
2023-02-14,Investment Return,Income,600.24
2023-10-30,Investment Return,Income,600.24
2023-08-05,Bonus,Income,600.24
2023-01-17,Freelancing,Income,600.24
2023-01-16,Salary,Income,600.24
2023-02-17,Investment Return,Income,600.24
2023-04-22,Salary,Income,600.24
2023-04-30,Freelancing,Income,600.24
2023-09-16,Investment Return,Income,600.24
2023-11-05,Salary,Income,600.24
2023-01-14,Salary,Income,600.24
2023-10-15,Bonus,Income,600.24
2023-04-12,Freelancing,Income,600.24
2023-11-29,Freelancing,Income,600.24
2023-12-26,Freelancing,Income,600.24
2023-10-07,Investment Return,Income,600.24
2023-08-03,Bonus,Income,600.24
2023-04-23,Investment Return,Income,600.24
2023-08-18,Freelancing,Income,600.24
2023-10-29,Investment Return,Income,600.24
2023-05-23,Salary,Income,600.24
2023-01-04,Investment Return,Income,600.24
2023-03-23,Investment Return,Income,600.24
2023-12-24,Freelancing,Income,600.24
2023-08-05,Salary,Income,600.24
2023-06-24,Freelancing,Income,600.24
2023-05-23,Salary,Income,600.24
2023-03-21,Salary,Income,600.24
2023-04-21,Salary,Income,600.24
2023-06-22,Freelancing,Income,600.24
2023-02-22,Salary,Income,600.24
2023-02-17,Bonus,Income,600.24
2023-07-14,Bonus,Income,600.24
2023-02-19,Bonus,Income,600.24
2023-07-03,Bonus,Income,600.24
2023-06-26,Freelancing,Income,600.24
2023-11-06,Investment Return,Income,600.24
2023-05-16,Investment Return,Income,600.24
2023-01-23,Bonus,Income,600.24
2023-08-24,Investment Return,Income,600.24
2023-10-02,Bonus,Income,600.24
2023-03-05,Bonus,Income,600.24
2023-07-13,Investment Return,Income,600.24
2023-02-10,Investment Return,Income,600.24
